ra,dec,redshift,extinction_r
115.60236,21.053741,0.4621342,0.1585039
131.37336,10.363693,0.4039755,0.1584389
118.45679,24.556051,0.3109022,0.1584155
120.61117,22.489344,0.3629134,0.1583865
121.63892,17.386091,0.5292456,0.1583687
135.35104,14.819195,0.5645747,0.1583377
117.40206,22.988649,0.5542063,0.1583333
119.89511,22.794364,0.4126595,0.1582882
119.14142,23.847319,0.4589197,0.1582756
118.1231,22.697072,0.4018906,0.1581732
118.23818,24.651073,0.3177824,0.1581686
116.13469,19.869131,0.5933338,0.1581005
117.78269,23.202041,0.3253528,0.1580616
117.94475,22.812722,0.5294421,0.1580496
126.63952,24.839608,0.5317652,0.1580276
117.89778,21.026835,0.480563,0.157983
126.64761,24.840382,0.5294816,0.1579483
119.72852,23.286889,0.3572991,0.1578834
117.99946,23.03893,0.5887465,0.1578727
122.77856,16.218194,0.4151068,0.1578301
130.02128,13.28785,0.4887208,0.1578298
119.81007,22.88498,0.4720781,0.1578073
137.62491,10.182494,0.535901,0.1577973
117.87205,22.23239,0.5501642,0.1577923
118.9001,21.176781,0.3700363,0.1577823
119.88167,22.800611,0.4150059,0.1577812
124.12237,23.01903,0.3093762,0.1577804
115.54879,20.707028,0.5699264,0.157764
131.40955,10.112767,0.4770189,0.157757
130.35516,12.210544,0.5372087,0.1577514
118.25722,23.266699,0.5680824,0.1577479
117.83667,23.202659,0.4004729,0.1577332
117.89305,21.026386,0.4804873,0.1576495
119.68996,23.222613,0.5552901,0.1576453
116.94559,21.997747,0.4870619,0.1576346
118.12295,22.662998,0.4017425,0.1576319
120.16249,22.545175,0.4952598,0.1576128
118.03242,22.974437,0.5535634,0.1576089
117.82462,23.860512,0.5570784,0.1575107
144.97113,13.966806,0.5754285,0.1575089
117.96591,22.341657,0.3929245,0.1574842
130.97878,12.096745,0.3377817,0.1574796
144.87085,14.014064,0.3835995,0.1574794
118.13069,22.68394,0.404149,0.1574676
118.13151,22.679152,0.402947,0.1574415
118.12959,22.707247,0.397778,0.1574068
117.91634,23.329962,0.5736988,0.1573776
117.88844,21.026293,0.4773953,0.1573571
120.50261,22.653191,0.3461879,0.1573441
128.51556,13.22902,0.5975204,0.1573013
116.48526,20.079287,0.4780959,0.1572776
117.48724,24.975939,0.480023,0.1572607
118.6685,24.047434,0.537923,0.1571855
135.5617,14.761802,0.4332291,0.1571803
135.51374,14.739613,0.4329514,0.1571243
120.4537,22.733783,0.4973351,0.1571147
119.20799,23.659491,0.3492797,0.1570697
116.54168,22.253747,0.3435323,0.1569995
122.78959,16.331616,0.3897515,0.1569961
131.03116,10.052578,0.3487071,0.1569836
133.8087,14.832836,0.3425141,0.1569722
118.95422,20.976021,0.4976916,0.1569531
117.3364,24.451983,0.3908911,0.1569296
118.46596,24.596546,0.3520841,0.1568751
144.98141,13.955702,0.3324804,0.1568689
118.49468,21.447783,0.3487602,0.1568602
117.4676,22.801718,0.5031521,0.156839
119.20744,23.656973,0.351361,0.1568357
118.6631,24.824941,0.410436,0.1567842
116.12931,19.868159,0.5957221,0.1567794
139.39419,23.201804,0.5478998,0.1567658
118.09179,23.305025,0.5436344,0.1567573
118.67368,21.407905,0.4823172,0.1567443
130.27804,13.310023,0.4523053,0.1567381
139.29133,22.823859,0.4833051,0.1567321
144.99005,13.967598,0.4110494,0.1566897
131.19546,10.351547,0.5930374,0.1566736
118.22689,22.625588,0.5039558,0.1566108
115.80991,21.047158,0.5376698,0.1566069
118.00826,21.054379,0.5771976,0.1563578
115.52364,20.685028,0.4968218,0.1563259
119.79525,21.183842,0.3409113,0.1562718
128.32571,13.132702,0.5813569,0.1562465
117.92859,22.909492,0.5064518,0.1562303
116.631,22.322747,0.4651781,0.1562095
119.02566,23.763234,0.5460116,0.1561747
