ra,dec,redshift,extinction_r
170.03898,6.525053,0.0750634,0.1526943
171.01221,7.5631702,0.07464337,0.1526929
158.43032,0.54594877,0.1837475,0.1526805
158.56789,0.60359146,0.1059531,0.152644
171.51442,8.5374741,0.07056682,0.1526128
167.54881,5.2426347,0.0759184,0.152585
158.72739,0.56530539,0.06565025,0.1525742
158.53778,0.61166778,0.1086243,0.1525582
169.02426,2.5761056,0.2330343,0.1525525
166.16075,4.2271324,0.1436268,0.1525325
158.49457,0.61059445,0.1062578,0.1525199
166.13418,1.3041955,0.1418236,0.1525129
157.32842,0.53949573,0.09521759,0.152395
157.39456,0.80530713,0.05115105,0.1523543
158.83121,-0.80866457,0.1240975,0.1523476
168.81447,2.5434684,0.07779057,0.1523309
166.76962,4.558707,0.06040023,0.1523165
166.16289,4.2316659,0.1439247,0.1522921
165.88309,1.3159802,0.07065193,0.1522832
172.694,7.7143097,0.1260791,0.1522183
159.54091,-0.22074377,0.09460202,0.152216
158.23911,0.040075137,0.07216842,0.1522158
168.31467,6.142962,0.05985157,0.1522048
169.41786,7.1893233,0.05414637,0.152133
158.76753,0.56146594,0.06515119,0.1521203
170.80399,7.3289998,0.1313233,0.1520889
158.19854,-0.20475826,0.03397743,0.1520764
170,6.2824345,0.1636118,0.1520488
165.89045,1.2886674,0.1310116,0.1520375
170.44596,4.1196776,0.03801643,0.1520032
170.75563,4.344464,0.0996375,0.1519893
157.6012,0.63711293,0.02889339,0.1519774
170.80842,6.7801416,0.1593456,0.1519551
169.00975,6.2974555,0.06121134,0.1518693
